WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"viernes, 27/6/2025",Issued,13:14:24,Issued,1421411,UNITED STATES,0200019185,11065408317117228444,"214,970.00","27,946.10"
"viernes, 27/6/2025",Issued,15:53:06,Issued,1421411,GUATEMALA,0200019187,11065408317117228812,"94,990.00","12,348.70"
"sábado, 28/6/2025",Issued,13:01:01,Issued,1421411,UNITED STATES,0200019190,11065408317117229804,"369,970.00","51,795.80"
"sábado, 28/6/2025",Issued,13:06:18,Issued,1421411,MEXICO,0200019191,11065408317117229858,"515,970.00","72,235.80"
"sábado, 28/6/2025",Issued,15:03:41,Issued,1421411,UNITED STATES,0200019196,11065408317117230282,"279,990.00","36,398.70"
"domingo, 29/6/2025",Issued,14:38:16,Processed by Global Blue,1421411,CHILE,00019206,11065408317117231967,"12,990.00","1,688.70"
"domingo, 29/6/2025",Issued,16:18:36,Issued,1421411,SWEDEN,0200019213,11065408317117232255,"64,990.00","8,448.70"
"domingo, 29/6/2025",Issued,16:56:31,Issued,1421411,BRAZIL,00019215,11065408317117232319,"189,990.00","24,698.70"
"lunes, 30/6/2025",Issued,15:45:09,Issued,1421411,FRANCE,0200019217,11065408317117233159,"23,990.00","3,118.70"
"lunes, 30/6/2025",Issued,16:00:38,Issued,1421411,UNITED STATES,00019218,11065408317117233171,"189,990.00","24,698.70"
"lunes, 30/6/2025",Issued,18:10:27,Issued,1421411,UNITED STATES,00019220,11065408317117233486,"99,990.00","12,998.70"

