WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 27/04/2025",Issued,12:43:46,Issued,1421411,AFGHANISTAN,00018667,11065408317117159990,"89.990,00","11.698,70"
"domingo, 27/04/2025",Issued,13:08:10,Issued,1421411,BRAZIL,00018669,11065408317117160073,"16.990,00","2.208,70"
"domingo, 27/04/2025",Issued,13:57:26,Issued,1421411,GERMANY,0200018670,11065408317117160191,"165.980,00","21.577,40"
"domingo, 27/04/2025",Issued,16:18:09,Issued,1421411,SOUTH AFRICA,0200018675,11065408317117160485,"84.980,00","11.047,40"
"domingo, 27/04/2025",Issued,16:43:57,Issued,1421411,AUSTRALIA,0200018676,11065408317117160519,"61.970,00","8.056,10"
"lunes, 28/04/2025",Issued,14:49:14,Processed by Global Blue,1421411,SAUDI ARABIA,00018678,11065408317117161536,"139.980,00","18.197,40"
"martes, 29/04/2025",Issued,16:39:14,Refunded by Global Blue,1421411,PERU,00018685,11065408317117162566,"189.990,00","24.698,70"
"martes, 29/04/2025",Issued,16:41:15,Refunded by Global Blue,1421411,PERU,00018686,11065408317117162584,"26.990,00","3.508,70"
"martes, 29/04/2025",Issued,17:52:10,Refunded by Global Blue,1421411,PERU,00018687,11065408317117162699,"15.990,00","2.078,70"
"sábado, 03/05/2025",Issued,15:39:40,Issued,1421411,UNITED STATES,0200018698,11065408317117167299,"171.980,00","22.357,40"
"sábado, 03/05/2025",Issued,15:42:27,Processed by Global Blue,1421411,UNITED STATES,0200018700,11065408317117167309,"165.990,00","21.578,70"
"domingo, 04/05/2025",Issued,14:24:08,Issued,1421411,BELGIUM,00018717,11065408317117168857,"379.980,00","53.197,20"
"jueves, 08/05/2025",Issued,12:56:04,Issued,1421411,PANAMA,0200018739,11065408317117172737,"79.990,00","10.398,70"
"jueves, 08/05/2025",Issued,15:41:32,Issued,1421411,UNITED STATES,00018744,11065408317117173074,"99.990,00","12.998,70"
