WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"viernes, 3/7/2026",Issued,12:32:55,Processed by Global Blue,1422658,URUGUAY,35434,11065408413117839048,"1,190,000.00","166,600.00"
"martes, 7/7/2026",Issued,18:30:42,Issued,1422658,MEXICO,35545,11065408413117846280,"599,900.00","83,986.00"
"sábado, 11/7/2026",Issued,11:07:43,Processed by Global Blue,1422658,BRAZIL,35636,11065408413117851260,"599,900.00","83,986.00"
"martes, 21/7/2026",Issued,13:01:05,Issued,1422658,UNITED STATES,35798,11065408413117915185,"859,700.00","120,358.00"
"martes, 21/7/2026",Issued,13:09:40,Issued,1422658,UNITED STATES,35799,11065408413117915214,"1,158,900.00","162,246.00"
"sábado, 25/7/2026",Issued,16:42:08,Issued,1422658,MEXICO,35898,11065408413117923368,"899,900.00","125,986.00"
"lunes, 27/7/2026",Issued,12:01:32,Issued,1422658,MEXICO,35937,11065408413117926202,"489,700.00","68,558.00"

